City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Santa Helena De Goias,BR,79.12,overcast clouds,-17.8136,-50.5969,Castro Castle Hotel
14,Ojinaga,MX,83.35,scattered clouds,29.5667,-104.4167,Suites Las Palmas
19,Katsuura,JP,77.58,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
20,La Asuncion,VE,82.13,broken clouds,11.0333,-63.8628,Colinas de Matasiete
23,Ciudad Bolivar,VE,78.58,overcast clouds,8.1222,-63.5497,Hotel Edi
26,Atuona,PF,77.4,scattered clouds,-9.8,-139.0333,Villa Enata
28,Ialibu,PG,75.83,overcast clouds,-6.2821,143.9935,PITPIT PASPAS GUESTHOUSE
29,Aden,YE,88.23,broken clouds,12.7794,45.0367,Sama Emirate Hotel
30,Marsh Harbour,BS,84.02,few clouds,26.5412,-77.0636,Abaco Beach Resort
31,Saint George,US,88.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
32,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Touros,BR,76.24,clear sky,-5.1989,-35.4608,INN NEW HORIZON
40,Kanchanaburi,TH,75.11,overcast clouds,14.6333,99.1,แพบุญศรี
41,Papara,BR,79.2,clear sky,-3.9839,-38.7273,CAMPOS MARANGUAPE
50,Bengkulu,ID,79.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
53,Dergaon,IN,79.29,broken clouds,26.7,93.9667,Villa Shivalay (Assam)
55,Lorengau,PG,86.04,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
56,Hasaki,JP,82.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
60,Isangel,VU,81.79,clear sky,-19.55,169.2667,Tanna Lodge
63,Thap Than,TH,76.05,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
67,Sao Filipe,CV,77.76,clear sky,14.8961,-24.4956,Hotel Xaguate
69,Ternate,ID,82.94,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
72,Le Moule,GP,77.04,broken clouds,16.3332,-61.3473,Lakaz Hananou
78,Bidor,MY,85.93,overcast clouds,4.1139,101.2884,Hotel Bidor mk
80,Victoria,HK,87.96,few clouds,22.2855,114.1577,Mini Central
81,Rincon,US,78.85,few clouds,32.296,-81.2354,Days Inn Rincon
83,Meulaboh,ID,81.55,overcast clouds,4.1363,96.1285,Kost Pria
84,Chaiya,TH,84.18,overcast clouds,9.3862,99.1986,JP Place
88,Sorong,ID,83.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
89,Hithadhoo,MV,81.37,moderate rain,-0.6,73.0833,Scoop Guest House
97,Cururupu,BR,75.02,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
98,Poso,ID,88.74,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
100,Labuhan,ID,86.61,few clouds,-6.8844,112.2051,DoubleFAG
101,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
107,Dwarka,IN,81.05,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
113,Hilo,US,82.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
114,Butaritari,KI,81.91,light rain,3.0707,172.7902,Isles Sunset Lodge
116,Mineiros,BR,75.74,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
119,San Joaquin,US,86.52,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
120,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
127,Shashi,CN,79.27,clear sky,30.3072,112.2447,Xingyu Hotel
130,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
131,Salalah,OM,78.06,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
133,Puerto Triunfo,CO,75.43,overcast clouds,5.8726,-74.6403,Hotel el Mirador
134,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
140,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
142,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
145,Kieta,PG,82.69,light rain,-6.2167,155.6333,Uruna Bay Retreat
150,Saysain,PH,77.09,moderate rain,14.5611,120.3925,Las Casas Filipinas De Acuzar
151,Cartagena Del Chaira,CO,75.34,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
153,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
155,Mogadishu,SO,77.29,broken clouds,2.0371,45.3438,Hotel Juba
156,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
158,Chifeng,CN,77.4,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
163,Along,IN,80.83,overcast clouds,28.1667,94.7667,Hotel West
167,Puerto Escondido,MX,79.63,thunderstorm,15.85,-97.0667,Aldea del Bazar Hotel and Spa
175,Kirakira,SB,83.05,few clouds,-10.4544,161.9205,SanBiz Lodge
179,Makakilo City,US,82.0,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
180,Biloela,AU,83.19,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
181,Effingham,US,75.15,scattered clouds,32.3669,-81.3332,Countryside Village
182,Yulara,AU,76.39,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
184,Tezu,IN,78.46,overcast clouds,27.9167,96.1667,Circuit House
188,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
193,Lingao,CN,83.91,broken clouds,19.9103,109.6859,Lingao Ditai Inn
202,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
212,San Patricio,US,84.06,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
214,Buala,SB,83.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
223,Angicos,BR,75.24,clear sky,-5.6656,-36.6011,Pousada Vovó Haidê
224,Matara,LK,80.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
227,Canutama,BR,80.96,scattered clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
228,Hede,CN,76.14,few clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
231,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
234,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,Akyab,MM,81.97,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
