City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,66.15,52,82,1.63,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,54.81,89,98,7.34,overcast clouds
2,New Norfolk,AU,-42.7826,147.0587,62.71,68,64,1.01,broken clouds
3,Chokurdakh,RU,70.6333,147.9167,32.95,68,91,13.49,overcast clouds
4,Porto Belo,BR,-27.1578,-48.5531,58.15,92,100,7.25,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,55.09,97,75,8.05,mist
6,Vaini,TO,-21.2,-175.2,73.56,100,100,6.91,moderate rain
7,Lagoa,PT,39.05,-27.9833,69.84,70,100,20.83,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,46.06,61,75,2.3,broken clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,66.54,95,100,8.99,overcast clouds
10,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,overcast clouds
11,Barrow,US,71.2906,-156.7887,28.42,86,100,10.36,overcast clouds
12,Santa Helena De Goias,BR,-17.8136,-50.5969,79.12,57,92,4.07,overcast clouds
13,Qaanaaq,GL,77.484,-69.3632,30.63,86,100,8.63,overcast clouds
14,Ojinaga,MX,29.5667,-104.4167,83.35,42,40,12.66,scattered clouds
15,Souillac,MU,-20.5167,57.5167,68.38,94,40,16.11,light rain
16,Laguna,US,38.421,-121.4238,90.45,37,0,5.75,clear sky
17,Ancud,CL,-41.8697,-73.8203,50.23,91,100,20.69,moderate rain
18,Ust-Koksa,RU,50.2696,85.6108,60.15,39,56,1.3,broken clouds
19,Katsuura,JP,35.1333,140.3,77.58,65,4,7.4,clear sky
20,La Asuncion,VE,11.0333,-63.8628,82.13,89,74,12.66,broken clouds
21,East London,ZA,-33.0153,27.9116,65.86,75,100,3.06,overcast clouds
22,Salinas,US,36.6777,-121.6555,65.48,78,100,10.36,overcast clouds
23,Ciudad Bolivar,VE,8.1222,-63.5497,78.58,84,100,4.07,overcast clouds
24,Hobart,AU,-42.8794,147.3294,63.05,56,75,4.61,broken clouds
25,Saint-Pierre,RE,-21.3393,55.4781,65.88,72,0,10.36,clear sky
26,Atuona,PF,-9.8,-139.0333,77.4,76,27,20.33,scattered clouds
27,Port Alfred,ZA,-33.5906,26.891,59.18,88,100,1.01,overcast clouds
28,Ialibu,PG,-6.2821,143.9935,75.83,33,100,5.37,overcast clouds
29,Aden,YE,12.7794,45.0367,88.23,66,77,7.61,broken clouds
30,Marsh Harbour,BS,26.5412,-77.0636,84.02,70,15,9.19,few clouds
31,Saint George,US,37.1041,-113.5841,88.39,13,0,6.91,clear sky
32,Kapaa,US,22.0752,-159.319,84.52,72,20,6.91,few clouds
33,Touros,BR,-5.1989,-35.4608,76.24,79,0,13.29,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,8.05,light rain
35,Saldanha,ZA,-33.0117,17.9442,55.45,88,100,8.03,overcast clouds
36,Henties Bay,NA,-22.116,14.2845,54.12,84,56,4.9,broken clouds
37,Ahipara,NZ,-35.1667,173.1667,64.06,66,96,15.1,overcast clouds
38,Yellowknife,CA,62.456,-114.3525,41.56,87,20,2.3,few clouds
39,Codrington,AU,-38.2667,141.9667,51.91,96,100,5.5,overcast clouds
40,Kanchanaburi,TH,14.6333,99.1,75.11,95,100,1.43,overcast clouds
41,Papara,BR,-3.9839,-38.7273,79.2,90,2,4.52,clear sky
42,Vostok,RU,46.4856,135.8833,62.62,54,7,7.29,clear sky
43,Leningradskiy,RU,69.3833,178.4167,33.28,94,100,6.82,light snow
44,Maniitsoq,GL,65.4167,-52.9,41.9,88,100,7.36,light rain
45,Romitan,UZ,39.9343,64.3814,58.95,58,0,2.3,clear sky
46,Upernavik,GL,72.7868,-56.1549,33.19,65,98,8.1,overcast clouds
47,Gujranwala,PK,32.1617,74.1883,73.45,81,52,6.08,broken clouds
48,Thompson,CA,55.7435,-97.8558,33.96,86,0,3.44,clear sky
49,Busselton,AU,-33.65,115.3333,59.29,65,0,4.07,clear sky
50,Bengkulu,ID,-3.8004,102.2655,79.56,78,97,4.9,overcast clouds
51,Cape Town,ZA,-33.9258,18.4232,58.08,84,40,4.61,scattered clouds
52,Torbay,CA,47.6666,-52.7314,51.17,87,0,11.5,clear sky
53,Dergaon,IN,26.7,93.9667,79.29,80,73,4.74,broken clouds
54,Peniche,PT,39.3558,-9.3811,61.11,85,0,17.16,clear sky
55,Lorengau,PG,-2.0226,147.2712,86.04,61,0,10.51,clear sky
56,Hasaki,JP,35.7333,140.8333,82.29,70,4,12.93,clear sky
57,Pisco,PE,-13.7,-76.2167,59.05,82,0,12.66,smoke
58,Norman Wells,CA,65.282,-126.8329,46.44,61,40,2.3,scattered clouds
59,Dikson,RU,73.5069,80.5464,32.68,81,100,17.45,overcast clouds
60,Isangel,VU,-19.55,169.2667,81.79,67,6,2.28,clear sky
61,Provideniya,RU,64.3833,-173.3,41.36,75,100,8.99,light intensity shower rain
62,Hofn,IS,64.2539,-15.2082,41.2,50,0,18.32,clear sky
63,Thap Than,TH,15.4606,99.8917,76.05,94,100,3.74,overcast clouds
64,Wuwei,CN,37.9281,102.6414,67.46,27,100,4.34,overcast clouds
65,Rikitea,PF,-23.1203,-134.9692,68.86,60,0,14.09,clear sky
66,Staraya Mayna,RU,54.6,48.95,48.31,82,98,10.4,overcast clouds
67,Sao Filipe,CV,14.8961,-24.4956,77.76,76,3,5.21,clear sky
68,Parsabad,IR,39.6482,47.9174,60.15,79,0,1.45,clear sky
69,Ternate,ID,0.8,127.4,82.94,73,61,7.87,broken clouds
70,Jamestown,US,42.097,-79.2353,56.01,77,100,12.66,heavy intensity rain
71,Chengdu,CN,30.6667,104.0667,71.94,100,75,2.24,broken clouds
72,Le Moule,GP,16.3332,-61.3473,77.04,100,79,13.49,broken clouds
73,Alta Floresta,BR,-9.8756,-56.0861,71.4,95,96,5.55,overcast clouds
74,Khatanga,RU,71.9667,102.5,27.82,93,100,13.67,overcast clouds
75,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,100,9.22,overcast clouds
76,Agadir,MA,30.4202,-9.5982,68.45,87,99,3.22,overcast clouds
77,Othaya,KE,-0.5652,36.9609,55.58,95,98,1.83,overcast clouds
78,Bidor,MY,4.1139,101.2884,85.93,66,99,4.52,overcast clouds
79,Arraial Do Cabo,BR,-22.9661,-42.0278,68.61,83,60,18.14,broken clouds
80,Victoria,HK,22.2855,114.1577,87.96,69,18,5.01,few clouds
81,Rincon,US,32.296,-81.2354,78.85,73,20,9.22,few clouds
82,Hay River,CA,60.8156,-115.7999,49.98,62,75,4.61,broken clouds
